Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/08/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;11/08/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/08/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/08/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/08/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/08/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/08/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;01/09/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;02/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/09/23;192,6000
